c,disp_x,disp_y,id,resid_x,resid_y,x,y,z
0.18000000000000002,1.0416666666666666e-05,-3.1250000000000001e-05,0,154158.3816420908,-918459.10693928506,-2,-2,0
0.30000000000000004,-1.0416666666666666e-05,-3.1250000000000001e-05,1,-170005.65587424987,-794448.37532196706,2,-2,0
0.22,-1.0416666666666666e-05,3.1250000000000001e-05,2,-167299.0625768138,810295.64955363399,2,2,0
0.10000000000000001,1.0416666666666666e-05,3.1250000000000001e-05,3,183146.33680843358,902611.83270770719,-2,2,0
0.19,5.8449916393707664e-06,-1.9421161706825264e-05,4,5.3332769311964512e-08,1.3504177331924438e-08,-1,-1,0
0.25,-5.0856589078648092e-06,-1.9891723262738118e-05,5,8.0282916314899921e-07,-1.1746305972337723e-07,1,-1,0
0.21000000000000002,-6.2009388403725315e-06,2.0762621073325536e-05,6,-3.7426070775836706e-07,2.0605511963367462e-08,1,1,0
0.15000000000000002,4.3823248976236529e-06,2.0649640571006064e-05,7,5.7327270042151213e-08,-5.4715201258659363e-09,-1,1,0
