disp_x,disp_y,id,resid_x,resid_y,x,y,z
-4.1666666666666665e-05,-4.1666666666666665e-05,0,-1375000,-1416666.6666666665,-2,-2,0
-4.1666666666666665e-05,4.1666666666666665e-05,1,-1416666.6666666665,1375000.0000000009,2,-2,0
4.1666666666666665e-05,4.1666666666666665e-05,2,1375000,1416666.6666666656,2,2,0
4.1666666666666665e-05,-4.1666666666666665e-05,3,1416666.6666666665,-1375000.0000000007,-2,2,0
-2.6041666666666668e-05,-2.4305555555555558e-05,4,1.1641532182693481e-10,0,-1,-1,0
-2.4305555555555554e-05,2.6041666666666662e-05,5,0,-1.3969838619232178e-09,1,-1,0
2.6041666666666668e-05,2.4305555555555561e-05,6,0,1.6298145055770874e-09,1,1,0
2.4305555555555554e-05,-2.6041666666666665e-05,7,2.3283064365386963e-10,4.6566128730773926e-10,-1,1,0
