disp_x,disp_y,id,resid_x,resid_y,x,y,z
-3.1250000000000001e-05,1.0416666666666666e-05,0,-1307065.2173913047,88768.115942029079,-2,-2,0
3.1250000000000001e-05,1.0416666666666666e-05,1,1327898.5507246377,67934.782608695677,2,-2,0
3.1250000000000001e-05,-1.0416666666666666e-05,2,1307065.2173913047,-88768.115942028671,2,2,0
-3.1250000000000001e-05,-1.0416666666666666e-05,3,-1327898.5507246377,-67934.782608695459,-2,2,0
-2.0493659420289852e-05,3.7741545893719793e-06,4,6.9849193096160889e-10,-2.1827872842550278e-10,-1,-1,0
2.0531400966183576e-05,5.5480072463768105e-06,5,0,4.0017766878008842e-11,1,-1,0
2.0493659420289852e-05,-3.7741545893719827e-06,6,-6.9849193096160889e-10,-3.3469405025243759e-10,1,1,0
-2.0531400966183576e-05,-5.5480072463768122e-06,7,0,-1.0550138540565968e-10,-1,1,0
