c,disp_x,disp_y,id,resid_x,resid_y,x,y,z
0.18000000000000002,-3.1250000000000001e-05,1.0416666666666666e-05,0,-813675.35289581725,187090.46156650339,-2,-2,0
0.30000000000000004,3.1250000000000001e-05,1.0416666666666666e-05,1,826677.45141601423,150539.9331409217,2,-2,0
0.22,3.1250000000000001e-05,-1.0416666666666666e-05,2,883506.83758735424,-163542.03166021188,2,2,0
0.10000000000000001,-3.1250000000000001e-05,-1.0416666666666666e-05,3,-896508.93610773038,-174088.3630457136,-2,2,0
0.19,-2.1004756112435721e-05,4.8474224952749574e-06,4,1.1204974725842476e-08,6.0041202232241631e-08,-1,-1,0
0.25,1.931563300590348e-05,6.2689759970614121e-06,5,1.2270174920558929e-07,-1.4624674804508686e-06,1,-1,0
0.21000000000000002,1.9512302920461663e-05,-4.6205475104544686e-06,6,1.9557774066925049e-08,1.7481215763837099e-07,1,1,0
0.15000000000000002,-2.0804177755885053e-05,-5.7718846391435293e-06,7,2.537854015827179e-08,-2.7201895136386156e-07,-1,1,0
