disp_x,disp_y,id,resid_x,resid_y,x,y,z
1.0416666666666666e-05,-3.1250000000000001e-05,0,67934.782608695299,-1327898.5507246384,-2,-2,0
-1.0416666666666666e-05,-3.1250000000000001e-05,1,-88768.11594202886,-1307065.2173913049,2,-2,0
-1.0416666666666666e-05,3.1250000000000001e-05,2,-67934.782608695852,1327898.5507246372,2,2,0
1.0416666666666666e-05,3.1250000000000001e-05,3,88768.115942029297,1307065.2173913035,-2,2,0
5.5480072463768131e-06,-2.0531400966183572e-05,4,3.3469405025243759e-10,6.9849193096160889e-10,-1,-1,0
-3.7741545893719802e-06,-2.0493659420289852e-05,5,3.637978807091713e-11,4.6566128730773926e-10,1,-1,0
-5.5480072463768114e-06,2.0531400966183579e-05,6,1.3096723705530167e-10,1.1641532182693481e-10,1,1,0
3.7741545893719793e-06,2.0493659420289862e-05,7,-3.4924596548080444e-10,1.1641532182693481e-09,-1,1,0
